rotulo,modo,caso,tempo,tempo_serial,speedup,eficiencia,servidores,workers,valido
Serial,serial,50x100,0.030261099998824648,0.030261099998824648,1.0,1.0,1,1,True
Paralelo local,paralelo,50x100,0.6944081999990885,0.030261099998824648,0.04357825843482892,0.04357825843482892,1,4,True
Distribuido serial,distribuido,50x100,0.020980799999961164,0.030261099998824648,1.4423234575841084,0.7211617287920542,2,1,True
Distribuido hibrido,hibrido,50x100,1.0442156999997678,0.030261099998824648,0.028979740487364226,0.014489870243682113,2,4,True
Serial,serial,50x100,0.034522299998570816,0.034522299998570816,1.0,1.0,1,1,True
Paralelo local,paralelo,50x100,0.7209148999991157,0.034522299998570816,0.04788678940969754,0.04788678940969754,1,4,True
Distribuido serial,distribuido,50x100,0.03203089999988151,0.034522299998570816,1.0777811425435602,0.5388905712717801,2,1,True
Distribuido hibrido,hibrido,50x100,1.046879199999239,0.034522299998570816,0.03297639307247284,0.01648819653623642,2,4,True
Serial,serial,200x100,0.1222606999999698,0.1222606999999698,1.0,1.0,1,1,True
Paralelo local,paralelo,200x100,0.7375144999987242,0.1222606999999698,0.16577396105457085,0.16577396105457085,1,4,True
Distribuido serial,distribuido,200x100,0.07354089999898861,0.1222606999999698,1.662485773245245,0.8312428866226225,2,1,True
Distribuido hibrido,hibrido,200x100,1.1667961000002833,0.1222606999999698,0.10478326075990493,0.05239163037995247,2,4,True
Serial,serial,200x100,0.12368179999975837,0.12368179999975837,1.0,1.0,1,1,True
Paralelo local,paralelo,200x100,0.7356335000004037,0.12368179999975837,0.1681296460801343,0.1681296460801343,1,4,True
Distribuido serial,distribuido,200x100,0.07144440000047325,0.12368179999975837,1.7311615745802202,0.8655807872901101,2,1,True
Distribuido hibrido,hibrido,200x100,1.105567799999335,0.12368179999975837,0.11187174590272325,0.055935872951361626,2,4,True
Serial,serial,250x500,3.8351151999995636,3.8351151999995636,1.0,1.0,1,1,True
Paralelo local,paralelo,250x500,1.7974577999993926,3.8351151999995636,2.133632956501599,2.133632956501599,1,4,True
Distribuido serial,distribuido,250x500,1.8874847999995836,3.8351151999995636,2.0318654751553016,1.0159327375776508,2,1,True
Distribuido hibrido,hibrido,250x500,1.9174966999999015,3.8351151999995636,2.000063520317798,1.000031760158899,2,4,True
Serial,serial,250x500,3.716137500001423,3.716137500001423,1.0,1.0,1,1,True
Paralelo local,paralelo,250x500,1.834560799999963,3.716137500001423,2.0256278778013237,2.0256278778013237,1,4,True
Distribuido serial,distribuido,250x500,2.113693000001149,3.716137500001423,1.758125470444101,0.8790627352220505,2,1,True
Distribuido hibrido,hibrido,250x500,1.8474692999989202,3.716137500001423,2.0114745614466205,1.0057372807233103,2,4,True
Serial,serial,500x300,2.4732717999995657,2.4732717999995657,1.0,1.0,1,1,True
Paralelo local,paralelo,500x300,1.4519966000007116,2.4732717999995657,1.7033592227408476,1.7033592227408476,1,4,True
Distribuido serial,distribuido,500x300,1.369934899999862,2.4732717999995657,1.8053936723561206,0.9026968361780603,2,1,True
Distribuido hibrido,hibrido,500x300,1.6166311999986647,2.4732717999995657,1.5298924083622836,0.7649462041811418,2,4,True
Serial,serial,500x300,2.6156013999989227,2.6156013999989227,1.0,1.0,1,1,True
Paralelo local,paralelo,500x300,1.716313999999329,2.6156013999989227,1.5239643794783153,1.5239643794783153,1,4,True
Distribuido serial,distribuido,500x300,1.5409911000006105,2.6156013999989227,1.697350101501486,0.848675050750743,2,1,True
Distribuido hibrido,hibrido,500x300,1.6022435000013502,2.6156013999989227,1.6324618573872938,0.8162309286936469,2,4,True
Serial,serial,1000x1200,88.5513891999999,88.5513891999999,1.0,1.0,1,1,True
Paralelo local,paralelo,1000x1200,26.53326620000007,88.5513891999999,3.3373723586280404,3.3373723586280404,1,4,True
Distribuido serial,distribuido,1000x1200,42.46941320000042,88.5513891999999,2.085062696368949,1.0425313481844745,2,1,True
Distribuido hibrido,hibrido,1000x1200,18.383451499999865,88.5513891999999,4.816907706368445,2.4084538531842226,2,4,True
Serial,serial,1000x1200,83.17190389999996,83.17190389999996,1.0,1.0,1,1,True
Paralelo local,paralelo,1000x1200,27.15715900000032,83.17190389999996,3.062614314700554,3.062614314700554,1,4,True
Distribuido serial,distribuido,1000x1200,44.16245270000036,83.17190389999996,1.8833171351463296,0.9416585675731648,2,1,True
Distribuido hibrido,hibrido,1000x1200,18.583345400000326,83.17190389999996,4.475615240945718,2.237807620472859,2,4,True
Serial,serial,1350x1350,144.6233886000009,144.6233886000009,1.0,1.0,1,1,True
Paralelo local,paralelo,1350x1350,41.69916279999961,144.6233886000009,3.4682564082558094,3.4682564082558094,1,4,True
Distribuido serial,distribuido,1350x1350,77.02669109999988,144.6233886000009,1.8775749877694166,0.9387874938847083,2,1,True
Distribuido hibrido,hibrido,1350x1350,30.262623299999177,144.6233886000009,4.778944216643798,2.389472108321899,2,4,True
Serial,serial,1350x1350,146.15163680000114,146.15163680000114,1.0,1.0,1,1,True
Paralelo local,paralelo,1350x1350,41.35129659999984,146.15163680000114,3.5343906676919463,3.5343906676919463,1,4,True
Distribuido serial,distribuido,1350x1350,73.32503390000056,146.15163680000114,1.9932024443291805,0.9966012221645902,2,1,True
Distribuido hibrido,hibrido,1350x1350,30.647613300001467,146.15163680000114,4.768777110614161,2.3843885553070807,2,4,True
Serial,serial,1500x1400,172.9539291000001,172.9539291000001,1.0,1.0,1,1,True
Paralelo local,paralelo,1500x1400,49.68115620000026,172.9539291000001,3.4812782617969584,3.4812782617969584,1,4,True
Distribuido serial,distribuido,1500x1400,86.47770769999988,172.9539291000001,1.9999828129116832,0.9999914064558416,2,1,True
Distribuido hibrido,hibrido,1500x1400,36.05388919999859,172.9539291000001,4.797094930330203,2.3985474651651013,2,4,True
Serial,serial,1500x1400,172.3989993999985,172.3989993999985,1.0,1.0,1,1,True
Paralelo local,paralelo,1500x1400,48.7815169000005,172.3989993999985,3.5341049306319694,3.5341049306319694,1,4,True
Distribuido serial,distribuido,1500x1400,88.59738440000001,172.3989993999985,1.9458700792074228,0.9729350396037114,2,1,True
Distribuido hibrido,hibrido,1500x1400,37.05950759999905,172.3989993999985,4.651950621168073,2.3259753105840364,2,4,True
